Title,Description,Labels,Priority,Estimate
P5-T3 Mutations + optimistic UI,"See task P5-T3 in LEADBASEPRO_BUILD_PLAN.md and SPEC Section 5 contract table. DoD: save/build/approve persist; RLS-scoped.",phase-5;backend;frontend,High,3
P5-T4 Realtime activity feed,"See task P5-T4 in LEADBASEPRO_BUILD_PLAN.md and SPEC 3.2/3.5. DoD: inserted row appears in UI within ~1s.",phase-5;backend;frontend,High,2
P5-T5 Stripe checkout + plan gating,"See task P5-T5 in LEADBASEPRO_BUILD_PLAN.md and SPEC 2.2 entitlements. DoD: test checkout upgrades plan; webhook verified; Solo build-limit guard works.",phase-5;billing;backend,Medium,3
P5-T6 Builder/Research/Settings live data,"See task P5-T6 in LEADBASEPRO_BUILD_PLAN.md and SPEC 3.7-3.9. Assets CRUD + publish confirm, leads realtime, interests persist, agent pause/approval-mode persist. DoD: all three views read/write Supabase; pause halts runs.",phase-5;backend;frontend,High,3
P5-T7 Data & privacy actions,"See task P5-T7 in LEADBASEPRO_BUILD_PLAN.md and SPEC 3.9.5. Export-all (signed URL), wipe business (typed confirm, cascade), delete account. DoD: export downloads; wipe cascades; RLS-scoped.",phase-5;backend,High,2
P6-T1 Agent run model + queue,"See task P6-T1 in LEADBASEPRO_BUILD_PLAN.md and SPEC 6.2. DoD: run state machine writes agent_tasks.",phase-6;agent;backend,High,3
P6-T2 Agent tooling layer,"See task P6-T2 in LEADBASEPRO_BUILD_PLAN.md and SPEC 6.2. DoD: one tool runs end-to-end, persists an asset; outreach gate enforced server-side.",phase-6;agent;backend,High,3
P6-T3 Opportunity discovery loop,"See task P6-T3 in LEADBASEPRO_BUILD_PLAN.md and SPEC 4.1/4.4. DoD: scheduled run yields real opportunity rows with match scores.",phase-6;agent;backend,High,3
P6-T4 Real agent chat (LLM + tools + stream),"See task P6-T4 in LEADBASEPRO_BUILD_PLAN.md and SPEC 3.5/6.2. DoD: chat triggers a run; approval messages pause outward-facing steps; workbench live.",phase-6;agent;backend;frontend,High,3
P6-T5 Nightly runs + morning brief,"See task P6-T5 in LEADBASEPRO_BUILD_PLAN.md and SPEC 4.4. DoD: overnight job populates next-day dashboard summary line.",phase-6;agent;backend,Medium,2
P7-T1 Playwright golden-path e2e,"See task P7-T1 in LEADBASEPRO_BUILD_PLAN.md. DoD: login->feed->build->portfolio->builder->agent green in CI; cross-user RLS test.",phase-7;frontend,High,2
P7-T2 Accessibility pass,"See task P7-T2 in LEADBASEPRO_BUILD_PLAN.md and SPEC Section 7. DoD: axe clean; reduced-motion honored; modal focus trap.",phase-7;frontend,Medium,2
P7-T3 Skeletons + error/empty states,"See task P7-T3 in LEADBASEPRO_BUILD_PLAN.md and SPEC Section 3 (4-state rule). DoD: lb-skeleton everywhere; error boundaries.",phase-7;frontend,Medium,2
P7-T4 Performance + Lighthouse >= 90,"See task P7-T4 in LEADBASEPRO_BUILD_PLAN.md and SPEC Section 7. DoD: report attached to PR.",phase-7;frontend,Medium,2
P7-T5 Deploy to Vercel + Supabase prod,"See task P7-T5 in LEADBASEPRO_BUILD_PLAN.md. DoD: live URL behind auth; rollback notes.",phase-7;backend,High,2
